GasPrice.1	GasPrice.2	GasPrice.3	ElePrice.1	ElePrice.2	ElePrice.3	VehPrice.1	VehPrice.2	VehPrice.3	mpg.1	mpg.2	mpg.3	mpg_unknown.1	mpg_unknown.2	mpg_unknown.3	mpg_known.1	mpg_known.2	mpg_known.3	range.1	range.2	range.3	size.1	size.2	size.3
3.5	3.5	0	0	0	5	1.8	3.5	2.8	0.2	0.3	1	0	0	0	0.2	0.3	1	0	0	0.9	1	2	1
3.29	3.29	0	0	0	5.36	2.8	2	2.4	0.27	0.47	1.03	0	0	0	0.27	0.47	1.03	0	0	0.65	2	1	1
4.3	4.3	0	0	0	4.24	3.5	5	2.4	0.15	0.28	0.83	0.15	0.28	0.83	0	0	0	0	0	1.15	2	2	1
3	3	0	0	0	4	1.8	2.8	2	0.24	0.5	0.9	0.24	0.5	0.9	0	0	0	0	0	1.1	1	1	1
3.5	3.5	0	0	0	4.75	1.3	2	2	0.24	0.35	0.8	0	0	0	0.24	0.35	0.8	0	0	0.6	0	1	1
4.34	4.34	0	0	0	4.06	1.8	2.8	2.4	0.3	0.42	1.13	0	0	0	0.3	0.42	1.13	0	0	1.15	1	1	1
3.75	3.75	0	0	0	4.75	1.6	2.8	2.8	0.24	0.4	1.2	0	0	0	0.24	0.4	1.2	0	0	0.7	0	1	0
4.25	4.25	0	0	0	5.25	1.3	2.4	2	0.28	0.52	0.9	0	0	0	0.28	0.52	0.9	0	0	1.1	0	0	1
3.75	3.75	0	0	0	4.35	4.3	5	2	0.23	0.24	0.83	0	0	0	0.23	0.24	0.83	0	0	0.95	2	2	1
3.75	3.75	0	0	0	4	1.8	2	1.8	0.2	0.35	1	0	0	0	0.2	0.35	1	0	0	0.6	1	1	0
4	4	0	0	0	4.5	1.8	2.4	2.8	0.2	0.5	1	0	0	0	0.2	0.5	1	0	0	0.9	1	1	1
4	4	0	0	0	4	1.3	3.2	3.2	0.33	0.45	0.9	0	0	0	0.33	0.45	0.9	0	0	0.75	0	1	1
4.25	4.25	0	0	0	4.5	2.8	2.8	2.4	0.26	0.27	1	0	0	0	0.26	0.27	1	0	0	0.6	2	2	1
3	3	0	0	0	4.5	2.6	3.2	1.8	0.28	0.4	1	0	0	0	0.28	0.4	1	0	0	0.85	1	1	0
3.82	3.82	0	0	0	4.53	1.8	2.1	3.2	0.34	0.46	0.83	0	0	0	0.34	0.46	0.83	0	0	0.95	1	0	1
3.92	3.92	0	0	0	5.32	1.8	3.5	2.8	0.34	0.24	1.03	0.34	0.24	1.03	0	0	0	0	0	0.9	1	2	0
3.5	3.5	0	0	0	5.25	2.5	2.8	2.4	0.24	0.44	1.1	0.24	0.44	1.1	0	0	0	0	0	0.6	0	0	0
3.55	3.55	0	0	0	4.58	3	3.2	2.4	0.22	0.42	1.13	0.22	0.42	1.13	0	0	0	0	0	0.65	1	1	0
4	4	0	0	0	4.5	3	2.8	2	0.2	0.45	1.1	0.2	0.45	1.1	0	0	0	0	0	0.9	1	1	1
3	3	0	0	0	4	1.8	3.2	3.2	0.28	0.45	0.9	0	0	0	0.28	0.45	0.9	0	0	0.75	1	1	1
2.95	2.95	0	0	0	4.55	4.3	2	2.8	0.15	0.52	1.13	0	0	0	0.15	0.52	1.13	0	0	1.05	2	1	0
3.25	3.25	0	0	0	4.5	4.3	2.4	2.8	0.22	0.48	1	0.22	0.48	1	0	0	0	0	0	0.6	2	0	1
3.25	3.25	0	0	0	4.5	2.8	5	2.8	0.22	0.27	1.1	0	0	0	0.22	0.27	1.1	0	0	0.7	2	2	0
4	4	0	0	0	4.25	1.8	2.1	2.8	0.32	0.44	1	0.32	0.44	1	0	0	0	0	0	0.85	1	0	0
3.75	3.75	0	0	0	4.5	2.8	4.3	2	0.18	0.3	0.9	0.18	0.3	0.9	0	0	0	0	0	1.1	2	2	1
3.39	3.39	0	0	0	4.25	2.6	2.4	3.2	0.26	0.42	0.83	0.26	0.42	0.83	0	0	0	0	0	0.65	1	0	1
3	3	0	0	0	5	1.6	3.5	2	0.33	0.3	1.1	0	0	0	0.33	0.3	1.1	0	0	0.6	0	2	1
3.33	3.33	0	0	0	4.52	3	4.3	2.4	0.34	0.21	0.93	0.34	0.21	0.93	0	0	0	0	0	0.95	1	2	1
4.25	4.25	0	0	0	5.25	3	2.8	2.8	0.2	0.44	0.9	0.2	0.44	0.9	0	0	0	0	0	0.6	1	0	1
3.5	3.5	0	0	0	5	1.3	2	2	0.24	0.35	0.8	0	0	0	0.24	0.35	0.8	0	0	0.6	0	1	1
4.25	4.25	0	0	0	4.75	1.6	2.8	2	0.38	0.4	1	0.38	0.4	1	0	0	0	0	0	1.1	0	0	1
3.5	3.5	0	0	0	4.5	1.8	2.8	2.4	0.28	0.4	1.1	0	0	0	0.28	0.4	1.1	0	0	1.1	1	1	1
4.46	4.46	0	0	0	5.16	2.8	2.8	2.4	0.28	0.52	1.28	0	0	0	0.28	0.52	1.28	0	0	1.4	2	1	1
3.75	3.75	0	0	0	4.75	2.6	1.8	3.2	0.2	0.52	0.9	0.2	0.52	0.9	0	0	0	0	0	1.1	1	0	1
4.56	4.56	0	0	0	4.14	2.6	3.5	2.4	0.22	0.21	1.13	0	0	0	0.22	0.21	1.13	0	0	0.8	1	2	1
3.75	3.75	0	0	0	4	2	4.3	2.8	0.28	0.2	1	0.28	0.2	1	0	0	0	0	0	0.6	0	2	0
3.75	3.75	0	0	0	4.25	2.8	4.3	2.4	0.22	0.23	1.1	0	0	0	0.22	0.23	1.1	0	0	1.1	2	2	1
3.84	3.84	0	0	0	4.39	5	2.8	2.1	0.23	0.31	1.03	0	0	0	0.23	0.31	1.03	0	0	0.75	2	2	0
4.15	4.15	0	0	0	4.59	2.2	1.8	3.2	0.26	0.5	1.13	0.26	0.5	1.13	0	0	0	0	0	0.95	1	0	1
3.75	3.75	0	0	0	5	3.5	2.4	3.2	0.14	0.44	1	0.14	0.44	1	0	0	0	0	0	0.75	2	0	1
3.75	3.75	0	0	0	4.5	2.6	2.4	2.8	0.24	0.4	1	0	0	0	0.24	0.4	1	0	0	0.6	1	0	0
4.34	4.34	0	0	0	4.04	2.8	5	3.2	0.23	0.28	0.93	0.23	0.28	0.93	0	0	0	0	0	0.8	2	2	1
4	4	0	0	0	5	3	1.8	2	0.24	0.44	1	0	0	0	0.24	0.44	1	0	0	0.75	1	0	1
3	3	0	0	0	4.75	1.6	3.2	2	0.38	0.35	1	0.38	0.35	1	0	0	0	0	0	1.1	0	1	1
3.8	3.8	0	0	0	4.81	2.6	3.5	2	0.34	0.28	0.93	0.34	0.28	0.93	0	0	0	0	0	0.8	1	2	1
4.27	4.27	0	0	0	4.56	2.2	1.8	2.8	0.3	0.42	0.93	0	0	0	0.3	0.42	0.93	0	0	0.95	1	0	1
4	4	0	0	0	4	2.6	2.8	2	0.28	0.44	0.8	0	0	0	0.28	0.44	0.8	0	0	0.9	1	0	1
4.16	4.16	0	0	0	4.64	1.8	2.8	2.1	0.34	0.28	1.23	0	0	0	0.34	0.28	1.23	0	0	0.65	1	2	0
3.93	3.93	0	0	0	5.32	4.3	2.4	3.2	0.19	0.42	0.83	0.19	0.42	0.83	0	0	0	0	0	0.65	2	0	1
4.24	4.24	0	0	0	5.23	2.2	2.8	2.1	0.22	0.5	1.03	0	0	0	0.22	0.5	1.03	0	0	1.05	1	0	0
3.24	3.24	0	0	0	4	2.5	2.8	2.8	0.26	0.46	0.93	0	0	0	0.26	0.46	0.93	0	0	0.65	0	0	1
4	4	0	0	0	4.25	2.8	3.5	2.8	0.26	0.23	1	0	0	0	0.26	0.23	1	0	0	0.85	2	2	0
4.25	4.25	0	0	0	5.25	4.3	3.2	1.8	0.22	0.4	1	0	0	0	0.22	0.4	1	0	0	0.85	2	1	0
3.71	3.71	0	0	0	5.13	2	2.8	3.2	0.3	0.37	0.83	0	0	0	0.3	0.37	0.83	0	0	0.65	0	1	1
3.86	3.86	0	0	0	5.2	1.8	2	2	0.22	0.37	0.83	0.22	0.37	0.83	0	0	0	0	0	0.65	1	1	1
3.29	3.29	0	0	0	4.29	5	2.1	2.8	0.19	0.5	0.83	0	0	0	0.19	0.5	0.83	0	0	1.15	2	0	1
3.5	3.5	0	0	0	5.25	2	2	2.4	0.38	0.4	1.3	0	0	0	0.38	0.4	1.3	0	0	1	0	1	0
3.5	3.5	0	0	0	5.25	2.6	2.8	2.4	0.32	0.23	1.3	0	0	0	0.32	0.23	1.3	0	0	1	1	2	0
4	4	0	0	0	4.5	3.5	5	2	0.26	0.2	1	0.26	0.2	1	0	0	0	0	0	1.1	2	2	1
4.25	4.25	0	0	0	4.75	2.8	3.2	2.8	0.18	0.35	1.1	0.18	0.35	1.1	0	0	0	0	0	0.75	2	1	1
4	4	0	0	0	4.75	3	3.2	2.4	0.2	0.4	1.1	0.2	0.4	1.1	0	0	0	0	0	0.6	1	1	0
4	4	0	0	0	5.25	2.2	2.8	2.4	0.28	0.2	1.1	0	0	0	0.28	0.2	1.1	0	0	0.85	1	2	0
4.25	4.25	0	0	0	4	4.3	2.8	2.4	0.26	0.23	1.3	0.26	0.23	1.3	0	0	0	0	0	1	2	2	0
4.05	4.05	0	0	0	4.91	1.6	5	2.1	0.26	0.28	1.03	0	0	0	0.26	0.28	1.03	0	0	1.05	0	2	0
3.71	3.71	0	0	0	4.63	2	3.2	2	0.35	0.42	0.83	0	0	0	0.35	0.42	0.83	0	0	0.95	0	1	1
3.5	3.5	0	0	0	4	3	5	2.4	0.2	0.23	1.1	0.2	0.23	1.1	0	0	0	0	0	0.6	1	2	0
4.07	4.07	0	0	0	5.08	2.8	2.8	2.8	0.19	0.42	1.13	0	0	0	0.19	0.42	1.13	0	0	0.8	2	0	1
4.28	4.28	0	0	0	5.36	1.6	2	2.8	0.35	0.37	0.93	0.35	0.37	0.93	0	0	0	0	0	0.95	0	1	1
4	4	0	0	0	4.75	2.5	4.3	2	0.24	0.27	1.1	0	0	0	0.24	0.27	1.1	0	0	0.9	0	2	1
3.19	3.19	0	0	0	5.15	2.6	5	2.1	0.26	0.31	1.23	0	0	0	0.26	0.31	1.23	0	0	0.9	1	2	0
4.15	4.15	0	0	0	5.21	1.8	2.4	2.4	0.22	0.52	1.23	0	0	0	0.22	0.52	1.23	0	0	0.9	1	1	0
3.5	3.5	0	0	0	4	3	2	2	0.24	0.4	1	0	0	0	0.24	0.4	1	0	0	0.75	1	1	1
3.25	3.25	0	0	0	4.25	2.6	2.4	2.8	0.28	0.48	1	0	0	0	0.28	0.48	1	0	0	0.6	1	0	1
3.79	3.79	0	0	0	5.35	3.5	2.8	2.8	0.27	0.52	0.83	0	0	0	0.27	0.52	0.83	0	0	0.8	2	1	1
3.75	3.75	0	0	0	4	2.5	1.8	2.1	0.33	0.52	1	0.33	0.52	1	0	0	0	0	0	0.7	0	0	0
3.51	3.51	0	0	0	5.41	4.3	2.8	2	0.23	0.46	0.83	0	0	0	0.23	0.46	0.83	0	0	0.95	2	0	1
3.67	3.67	0	0	0	4.37	3	2.4	1.8	0.22	0.5	1.33	0	0	0	0.22	0.5	1.33	0	0	0.9	1	0	0
4.04	4.04	0	0	0	4.09	3	2.4	2.8	0.26	0.47	0.83	0	0	0	0.26	0.47	0.83	0	0	1.15	1	1	1
3.75	3.75	0	0	0	4	1.3	2.4	2	0.28	0.52	0.9	0.28	0.52	0.9	0	0	0	0	0	1.1	0	0	1
4.31	4.31	0	0	0	5.32	1.8	2.4	3.2	0.34	0.42	0.83	0.34	0.42	0.83	0	0	0	0	0	0.95	1	1	1
3	3	0	0	0	5.25	5	2.1	3.2	0.22	0.4	1	0.22	0.4	1	0	0	0	0	0	1.1	2	0	1
4.25	4.25	0	0	0	4.25	2.6	2.8	1.8	0.28	0.44	1	0	0	0	0.28	0.44	1	0	0	0.85	1	0	0
3.37	3.37	0	0	0	4.64	2.5	5	2.8	0.4	0.31	1.33	0	0	0	0.4	0.31	1.33	0	0	0.65	0	2	0
4.25	4.25	0	0	0	4.5	1.6	2.1	2.4	0.28	0.44	0.9	0	0	0	0.28	0.44	0.9	0	0	0.6	0	0	1
3.97	3.97	0	0	0	5.19	1.8	3.5	2.4	0.22	0.31	1.23	0.22	0.31	1.23	0	0	0	0	0	0.9	1	2	0
3.25	3.25	0	0	0	4.75	2.2	4.3	2.8	0.2	0.23	1.2	0	0	0	0.2	0.23	1.2	0	0	0.7	1	2	0
4	4	0	0	0	4	3	2	2.4	0.28	0.5	0.8	0.28	0.5	0.8	0	0	0	0	0	0.75	1	1	1
4	4	0	0	0	4.5	5	2.8	2.1	0.22	0.3	1	0	0	0	0.22	0.3	1	0	0	0.7	2	2	0
3.5	3.5	0	0	0	5	5	2.8	1.8	0.18	0.23	1.2	0	0	0	0.18	0.23	1.2	0	0	0.7	2	2	0
4	4	0	0	0	4.25	2.2	3.2	2.1	0.2	0.45	1	0	0	0	0.2	0.45	1	0	0	1	1	1	0
4.25	4.25	0	0	0	5.25	3.5	4.3	2.8	0.26	0.3	0.8	0.26	0.3	0.8	0	0	0	0	0	0.75	2	2	1
4.13	4.13	0	0	0	4.58	1.8	3.2	3.2	0.3	0.47	0.93	0	0	0	0.3	0.47	0.93	0	0	0.8	1	1	1
4	4	0	0	0	4.25	2.5	3.2	2.8	0.24	0.4	0.9	0.24	0.4	0.9	0	0	0	0	0	0.6	0	1	1
3.38	3.38	0	0	0	4.13	2.6	3.5	2.4	0.22	0.21	1.13	0	0	0	0.22	0.21	1.13	0	0	0.8	1	2	1
4.3	4.3	0	0	0	5.33	4.3	2.8	3.2	0.15	0.31	0.93	0.15	0.31	0.93	0	0	0	0	0	1.15	2	2	1
3.75	3.75	0	0	0	4.5	5	3.5	3.2	0.22	0.2	1	0.22	0.2	1	0	0	0	0	0	1.1	2	2	1
4	4	0	0	0	4	1.6	2.4	2.8	0.38	0.52	0.8	0	0	0	0.38	0.52	0.8	0	0	0.75	0	0	1
4.13	4.13	0	0	0	5.34	2.5	3.5	2.8	0.3	0.28	0.83	0.3	0.28	0.83	0	0	0	0	0	1.15	0	2	1
3.65	3.65	0	0	0	5.36	1.3	2.4	2.1	0.35	0.46	1.33	0.35	0.46	1.33	0	0	0	0	0	1.05	0	0	0
4.23	4.23	0	0	0	4.97	1.3	2.1	3.2	0.4	0.46	0.83	0	0	0	0.4	0.46	0.83	0	0	0.95	0	0	1
3.13	3.13	0	0	0	4.82	1.3	3.5	2.8	0.26	0.31	1.03	0	0	0	0.26	0.31	1.03	0	0	0.95	0	2	1
4.38	4.38	0	0	0	4.39	1.3	1.8	2.4	0.4	0.5	1.03	0	0	0	0.4	0.5	1.03	0	0	0.65	0	0	1
3.75	3.75	0	0	0	4.25	2	3.2	1.8	0.33	0.4	1	0.33	0.4	1	0	0	0	0	0	0.85	0	1	0
3.25	3.25	0	0	0	4.75	4.3	4.3	2.8	0.18	0.2	1	0.18	0.2	1	0	0	0	0	0	0.6	2	2	0
3.5	3.5	0	0	0	5.25	2.8	2.4	1.8	0.18	0.52	1.1	0.18	0.52	1.1	0	0	0	0	0	1	2	0	0
3	3	0	0	0	5	4.3	2	2.8	0.14	0.5	1.1	0	0	0	0.14	0.5	1.1	0	0	1	2	1	0
3	3	0	0	0	4.25	2.5	2.4	2	0.24	0.48	1.1	0	0	0	0.24	0.48	1.1	0	0	0.9	0	0	1
3.25	3.25	0	0	0	5.25	1.6	2.4	1.8	0.33	0.5	1.3	0.33	0.5	1.3	0	0	0	0	0	0.6	0	1	0
3	3	0	0	0	5.25	3.5	4.3	2.8	0.26	0.3	0.8	0	0	0	0.26	0.3	0.8	0	0	0.75	2	2	1
2.92	2.92	0	0	0	4.75	2.2	3.2	2	0.34	0.37	1.03	0	0	0	0.34	0.37	1.03	0	0	1.15	1	1	1
3.93	3.93	0	0	0	4.99	4.3	2.4	2	0.27	0.47	0.93	0	0	0	0.27	0.47	0.93	0	0	0.8	2	1	1
3.5	3.5	0	0	0	4.5	2.6	2.4	2.4	0.2	0.35	1.1	0	0	0	0.2	0.35	1.1	0	0	0.75	1	1	1
4.2	4.2	0	0	0	4.12	1.6	2.8	2.1	0.26	0.5	1.03	0	0	0	0.26	0.5	1.03	0	0	1.05	0	0	0
3	3	0	0	0	5	1.6	2.8	2.4	0.24	0.48	0.8	0.24	0.48	0.8	0	0	0	0	0	1.1	0	0	1
3.5	3.5	0	0	0	4	1.8	2	1.8	0.2	0.35	1	0	0	0	0.2	0.35	1	0	0	0.6	1	1	0
3.79	3.79	0	0	0	4.07	2.2	2	2.8	0.3	0.37	0.93	0.3	0.37	0.93	0	0	0	0	0	0.95	1	1	1
4	4	0	0	0	5.25	2	2	2.8	0.38	0.4	1.1	0	0	0	0.38	0.4	1.1	0	0	1.1	0	1	1
4.25	4.25	0	0	0	5.25	3.5	2.8	2.8	0.22	0.2	0.9	0	0	0	0.22	0.2	0.9	0	0	0.9	2	2	1
3.5	3.5	0	0	0	5	2.2	2.4	2.4	0.24	0.4	0.9	0.24	0.4	0.9	0	0	0	0	0	0.6	1	1	1
3.59	3.59	0	0	0	4.27	1.3	2.8	1.8	0.3	0.52	1.13	0.3	0.52	1.13	0	0	0	0	0	1.05	0	1	0
4.29	4.29	0	0	0	4.57	2.6	2.1	2	0.34	0.5	0.93	0.34	0.5	0.93	0	0	0	0	0	0.8	1	0	1
5.88	5.88	0	0	0	5.51	5	2.4	2.8	0.3	0.51	1.44	0.3	0.51	1.44	0	0	0	0	0	1.4	2	1	0
4	4	0	0	0	4.75	2	2.8	2.1	0.28	0.52	1.2	0.28	0.52	1.2	0	0	0	0	0	0.85	0	0	0
4	4	0	0	0	4.75	2.8	2.4	1.8	0.18	0.52	1.1	0	0	0	0.18	0.52	1.1	0	0	1	2	0	0
3.75	3.75	0	0	0	5	1.6	2.1	1.8	0.33	0.52	1.3	0	0	0	0.33	0.52	1.3	0	0	0.6	0	0	0
3.29	3.29	0	0	0	4.08	3	3.2	2.8	0.34	0.52	1.33	0.34	0.52	1.33	0	0	0	0	0	0.65	1	1	0
3.32	3.32	0	0	0	5.12	2.6	2.1	1.8	0.34	0.5	1.13	0.34	0.5	1.13	0	0	0	0	0	0.75	1	0	0
4.48	4.48	0	0	0	4.61	2.6	3.2	2	0.3	0.42	0.83	0.3	0.42	0.83	0	0	0	0	0	0.95	1	1	1
3.5	3.5	0	0	0	4.75	3.5	2.8	2.8	0.22	0.2	0.9	0.22	0.2	0.9	0	0	0	0	0	0.9	2	2	1
3.25	3.25	0	0	0	4	1.8	1.8	2	0.2	0.4	0.8	0.2	0.4	0.8	0	0	0	0	0	0.6	1	0	1
3.75	3.75	0	0	0	4.5	2.2	2.1	2.1	0.24	0.44	1.1	0	0	0	0.24	0.44	1.1	0	0	0.6	1	0	0
4	4	0	0	0	5	1.8	2.4	2	0.24	0.52	0.9	0	0	0	0.24	0.52	0.9	0	0	1.1	1	0	1
3.48	3.48	0	0	0	4.79	1.8	4.3	2	0.26	0.31	0.93	0	0	0	0.26	0.31	0.93	0	0	1.15	1	2	1
3.86	3.86	0	0	0	4.91	2.6	2.8	2.4	0.3	0.47	1.23	0	0	0	0.3	0.47	1.23	0	0	0.65	1	1	0
4.65	4.65	0	0	0	5.43	3	5	2.8	0.22	0.24	0.93	0	0	0	0.22	0.24	0.93	0	0	0.65	1	2	1
2.95	2.95	0	0	0	4.01	4.3	2.1	2.1	0.15	0.42	1.33	0	0	0	0.15	0.42	1.33	0	0	0.75	2	0	0
3.75	3.75	0	0	0	4.25	3.5	4.3	2.8	0.26	0.3	0.8	0	0	0	0.26	0.3	0.8	0	0	0.75	2	2	1
4.37	4.37	0	0	0	4.37	3.5	5	1.8	0.27	0.21	1.23	0.27	0.21	1.23	0	0	0	0	0	1.05	2	2	0
4.25	4.25	0	0	0	4.25	1.3	2.8	2.4	0.33	0.4	1.1	0.33	0.4	1.1	0	0	0	0	0	1.1	0	1	1
4.05	4.05	0	0	0	4.76	4.3	5	2.1	0.19	0.31	1.23	0.19	0.31	1.23	0	0	0	0	0	0.9	2	2	0
3.5	3.5	0	0	0	5.25	1.6	2.1	1.8	0.33	0.52	1.3	0.33	0.52	1.3	0	0	0	0	0	0.6	0	0	0
4.25	4.25	0	0	0	4.25	1.8	5	3.2	0.28	0.27	0.9	0	0	0	0.28	0.27	0.9	0	0	0.75	1	2	1
4.25	4.25	0	0	0	5	2	2.8	2.8	0.24	0.3	1.1	0	0	0	0.24	0.3	1.1	0	0	1	0	2	0
3	3	0	0	0	4.75	2.5	2.8	2.8	0.24	0.44	0.9	0	0	0	0.24	0.44	0.9	0	0	0.6	0	0	1
4.39	4.39	0	0	0	5.44	2.2	2.4	2.8	0.22	0.46	1.23	0.22	0.46	1.23	0	0	0	0	0	0.75	1	0	0
5.43	5.43	0	0	0	6	2.2	3.2	2.4	0.36	0.61	1.04	0.36	0.61	1.04	0	0	0	0	0	1.5	1	1	1
4	4	0	0	0	4.5	3	1.8	2.4	0.28	0.52	0.8	0.28	0.52	0.8	0	0	0	0	0	0.75	1	0	1
4	4	0	0	0	5.25	1.3	2.4	2.4	0.24	0.5	1.2	0	0	0	0.24	0.5	1.2	0	0	0.85	0	1	0
4.59	4.59	0	0	0	3.97	2	2.8	3.2	0.26	0.31	0.93	0.26	0.31	0.93	0	0	0	0	0	1.15	0	2	1
3.98	3.98	0	0	0	4.84	3	3.5	2.8	0.26	0.28	0.83	0.26	0.28	0.83	0	0	0	0	0	1.15	1	2	1
3.29	3.29	0	0	0	5.04	2.5	2	2	0.3	0.42	1.03	0	0	0	0.3	0.42	1.03	0	0	0.8	0	1	1
4.14	4.14	0	0	0	4.22	1.6	1.8	2.8	0.35	0.42	0.93	0	0	0	0.35	0.42	0.93	0	0	0.95	0	0	1
3.75	3.75	0	0	0	4.75	2.6	2.4	2.8	0.24	0.4	1	0.24	0.4	1	0	0	0	0	0	0.6	1	0	0
2.87	2.87	0	0	0	4.35	1.6	5	2	0.4	0.21	1.03	0	0	0	0.4	0.21	1.03	0	0	1.15	0	2	1
3.23	3.23	0	0	0	4.61	1.8	2.8	2	0.22	0.21	0.83	0	0	0	0.22	0.21	0.83	0	0	0.65	1	2	1
3.33	3.33	0	0	0	5.32	1.6	2	2.4	0.35	0.37	1.13	0.35	0.37	1.13	0	0	0	0	0	0.9	0	1	0
4	4	0	0	0	4.75	2	3.5	2.1	0.24	0.2	1.3	0	0	0	0.24	0.2	1.3	0	0	0.7	0	2	0
4.34	4.34	0	0	0	4.97	3.5	4.3	3.2	0.15	0.24	1.03	0	0	0	0.15	0.24	1.03	0	0	0.8	2	2	1
4.25	4.25	0	0	0	4.5	2.6	2	2.8	0.32	0.4	1.1	0	0	0	0.32	0.4	1.1	0	0	1.1	1	1	1
3.5	3.5	0	0	0	5.25	1.8	2.8	1.8	0.24	0.5	1.1	0.24	0.5	1.1	0	0	0	0	0	1	1	1	0
3.25	3.25	0	0	0	5	2.5	2.4	2.1	0.38	0.4	1.1	0	0	0	0.38	0.4	1.1	0	0	0.85	0	0	0
3.5	3.5	0	0	0	4.75	4.3	3.2	2.1	0.18	0.5	1.2	0.18	0.5	1.2	0	0	0	0	0	0.85	2	1	0
3.92	3.92	0	0	0	5.41	2	2.8	2.4	0.35	0.47	1.23	0	0	0	0.35	0.47	1.23	0	0	0.65	0	1	0
3.83	3.83	0	0	0	5.3	5	2.1	2.8	0.19	0.5	0.83	0	0	0	0.19	0.5	0.83	0	0	1.15	2	0	1
4.25	4.25	0	0	0	5.25	1.8	1.8	2.4	0.32	0.48	1	0	0	0	0.32	0.48	1	0	0	0.6	1	0	1
3.46	3.46	0	0	0	5.23	2.8	3.2	2.8	0.23	0.47	1.13	0	0	0	0.23	0.47	1.13	0	0	0.75	2	1	0
3.25	3.25	0	0	0	4.75	2	2.4	2.1	0.24	0.35	1.3	0	0	0	0.24	0.35	1.3	0	0	0.7	0	1	0
3.89	3.89	0	0	0	5.13	5	2.8	2.4	0.23	0.31	0.83	0	0	0	0.23	0.31	0.83	0	0	0.8	2	2	1
4	4	0	0	0	5.25	3	2.4	1.8	0.2	0.48	1.3	0	0	0	0.2	0.48	1.3	0	0	0.85	1	0	0
3.75	3.75	0	0	0	4	2.2	2.4	2.4	0.24	0.4	0.9	0	0	0	0.24	0.4	0.9	0	0	0.6	1	1	1
3.59	3.59	0	0	0	4.84	3.5	2.8	3.2	0.19	0.28	1.13	0.19	0.28	1.13	0	0	0	0	0	0.95	2	2	1
4	4	0	0	0	5.25	5	2.8	2.4	0.22	0.3	0.8	0.22	0.3	0.8	0	0	0	0	0	0.75	2	2	1
4.26	4.26	0	0	0	4.15	3	2.4	2.8	0.26	0.47	0.83	0	0	0	0.26	0.47	0.83	0	0	1.15	1	1	1
4.11	4.11	0	0	0	4.35	3	2	2.4	0.3	0.52	0.83	0	0	0	0.3	0.52	0.83	0	0	0.8	1	1	1
3.89	3.89	0	0	0	4.05	1.6	2.4	2.4	0.3	0.42	0.93	0	0	0	0.3	0.42	0.93	0	0	0.65	0	1	1
3	3	0	0	0	4.25	1.8	2.4	2.8	0.32	0.4	1	0	0	0	0.32	0.4	1	0	0	0.85	1	1	0
3	3	0	0	0	5	1.6	1.8	3.2	0.28	0.48	1.1	0.28	0.48	1.1	0	0	0	0	0	0.9	0	0	1
4.77	4.77	0	0	0	5.72	2.6	2.8	2.8	0.44	0.29	1.28	0.44	0.29	1.28	0	0	0	0	0	1.4	1	2	1
4.25	4.25	0	0	0	4.25	1.3	2.4	2.8	0.38	0.4	1	0.38	0.4	1	0	0	0	0	0	0.85	0	1	0
4.25	4.25	0	0	0	4.75	5	2.4	1.8	0.14	0.48	1.3	0.14	0.48	1.3	0	0	0	0	0	0.85	2	0	0
4.22	4.22	0	0	0	4.8	5	3.5	2.8	0.23	0.21	1.23	0.23	0.21	1.23	0	0	0	0	0	1.05	2	2	0
3.25	3.25	0	0	0	5.25	1.3	2.8	2.4	0.33	0.4	1.1	0	0	0	0.33	0.4	1.1	0	0	1.1	0	1	1
3	3	0	0	0	5.25	1.8	2.8	2.1	0.32	0.27	1.2	0.32	0.27	1.2	0	0	0	0	0	0.6	1	2	0
3.25	3.25	0	0	0	4.25	1.6	3.5	2.4	0.28	0.23	0.9	0	0	0	0.28	0.23	0.9	0	0	0.6	0	2	1
3.25	3.25	0	0	0	4.25	2.6	2.8	2.8	0.24	0.35	1	0.24	0.35	1	0	0	0	0	0	0.6	1	1	0
3.5	3.5	0	0	0	4.5	2	2.8	2.8	0.38	0.23	1.1	0	0	0	0.38	0.23	1.1	0	0	1.1	0	2	1
4	4	0	0	0	4.5	2.2	2.8	3.2	0.24	0.27	1.1	0	0	0	0.24	0.27	1.1	0	0	0.9	1	2	1
4	4	0	0	0	4.25	2.2	2.4	2	0.28	0.5	1.1	0.28	0.5	1.1	0	0	0	0	0	0.6	1	1	1
4.25	4.25	0	0	0	5	3	2.1	2.8	0.24	0.48	0.8	0	0	0	0.24	0.48	0.8	0	0	1.1	1	0	1
3.72	3.72	0	0	0	4.07	3	2.8	1.8	0.22	0.47	1.33	0.22	0.47	1.33	0	0	0	0	0	0.9	1	1	0
4.25	4.25	0	0	0	4.75	2.8	5	2.8	0.22	0.27	1.1	0	0	0	0.22	0.27	1.1	0	0	0.7	2	2	0
3.45	3.45	0	0	0	4.78	3	2	1.8	0.26	0.42	1.23	0	0	0	0.26	0.42	1.23	0	0	0.75	1	1	0
3.76	3.76	0	0	0	4.66	2.2	2	2.4	0.3	0.37	1.13	0	0	0	0.3	0.37	1.13	0	0	0.9	1	1	0
4.31	4.31	0	0	0	5.41	4.3	2.4	2.8	0.23	0.5	1.03	0.23	0.5	1.03	0	0	0	0	0	0.65	2	0	1
4.25	4.25	0	0	0	4.25	2.2	1.8	2.4	0.28	0.4	1.1	0	0	0	0.28	0.4	1.1	0	0	0.85	1	0	0
